,watchers,stars,forks,type,issues,size,open_issues_count,num_languages,language_1,language_1_size,language_2,language_2_size,language_3,language_3_size
13348,2,2,0,User,0,1507,0,0,JavaScript,0.0,0,0.0,0,0.0
57428,3,2,0,User,0,808,0,4,Lua,38342.0,C,4161.0,C++,4061.0
56589,4,4,4,User,0,225,0,2,VimL,9108.0,Shell,2107.0,0,0.0
84303,1,3,0,User,0,104,0,0,0,0.0,0,0.0,0,0.0
120727,1,1,1,User,0,4596,0,1,Java,1221743.0,0,0.0,0,0.0
33132,2,1,0,User,0,48,0,0,0,0.0,0,0.0,0,0.0
121050,1,1,0,User,0,48,0,0,0,0.0,0,0.0,0,0.0
67079,3,2,0,User,0,35680,0,3,C,609496.0,Python,526953.0,Shell,40.0
131366,1,1,0,User,0,172,0,2,Ruby,11351.0,JavaScript,3959.0,0,0.0
107934,19,12,13,Organization,4,6110,4,3,Python,963868.0,Clojure,9818.0,R,1427.0
119016,1,1,0,User,0,612,0,1,Java,29748.0,0,0.0,0,0.0
13664,2,3,0,User,0,1852,0,1,Ruby,25730.0,0,0.0,0,0.0
119302,0,1,0,User,0,2360,0,0,0,0.0,0,0.0,0,0.0
67713,1,1,0,User,0,6443,0,2,JavaScript,412811.0,PHP,348887.0,0,0.0
57630,2,2,0,User,0,116,0,1,JavaScript,3095.0,0,0.0,0,0.0
89037,1,1,0,User,0,84,0,1,Perl,20868.0,0,0.0,0,0.0
19851,2,2,0,User,0,92,0,1,C,15397.0,0,0.0,0,0.0
126541,1,2,1,User,0,16716,0,5,PHP,6407824.0,JavaScript,680523.0,Python,348490.0
7649,17,48,13,Organization,1,178,1,1,Ruby,20697.0,0,0.0,0,0.0
44757,2,7,1,User,0,152,0,2,C++,2426.0,Perl,355.0,0,0.0
32488,2,1,0,User,0,76,0,1,Ruby,7993.0,0,0.0,0,0.0
133478,1,1,1,User,0,131,0,0,JavaScript,0.0,0,0.0,0,0.0
60091,2,1,1,User,0,277,0,2,JavaScript,259932.0,Shell,32.0,0,0.0
36583,8,43,7,User,0,14123,0,3,Vim script,1003517.0,Ruby,2351.0,Shell,655.0
135441,1,1,0,User,0,48,0,0,0,0.0,0,0.0,0,0.0
61619,2,3,2,User,1,8592,1,4,JavaScript,61962.0,Ruby,23402.0,C#,19365.0
101592,1,1,1,User,0,28612,0,0,C++,0.0,0,0.0,0,0.0
63041,2,2,1,User,0,77,0,0,Python,0.0,0,0.0,0,0.0
39111,1,4,1,User,0,151,0,1,Ruby,10133.0,0,0.0,0,0.0
6828,2,47,27,User,6,432,6,1,Ruby,27662.0,0,0.0,0,0.0
45700,2,1,0,User,0,48,0,0,0,0.0,0,0.0,0,0.0
115232,1,1,0,User,0,104,0,1,Ruby,25303.0,0,0.0,0,0.0
108059,1,2,0,User,0,99,0,1,Ruby,501.0,0,0.0,0,0.0
2430,2,3,1,User,0,100,0,1,Ruby,35854.0,0,0.0,0,0.0
72469,1,7,0,User,0,76,0,0,0,0.0,0,0.0,0,0.0
13280,2,2,0,User,0,80,0,0,0,0.0,0,0.0,0,0.0
132697,2,4,2,User,0,101,0,1,Ruby,3279.0,0,0.0,0,0.0
88688,1,1,0,User,0,749,0,3,VimL,886827.0,Ruby,5183.0,Shell,2738.0
35267,2,1,1,User,0,81,0,0,0,0.0,0,0.0,0,0.0
120918,11,156,14,User,10,553,10,1,Ruby,60100.0,0,0.0,0,0.0
12011,2,2,1,User,0,88,0,0,0,0.0,0,0.0,0,0.0
45787,2,0,0,User,0,76,0,1,PHP,3606.0,0,0.0,0,0.0
49563,2,1,1,User,0,11421,0,3,Python,479735.0,JavaScript,85230.0,Shell,1963.0
43440,2,5,0,User,2,96,2,1,PHP,5282.0,0,0.0,0,0.0
29106,2,2,0,User,0,84,0,1,Ruby,858.0,0,0.0,0,0.0
103078,1,2,0,User,0,96,0,1,C++,9607.0,0,0.0,0,0.0
19662,2,2,0,User,0,254,0,0,Ruby,0.0,0,0.0,0,0.0
131762,1,1,1,User,0,174,0,3,PHP,45630.0,Smarty,31802.0,CSS,441.0
38382,2,0,0,User,0,776,0,3,CSS,6548.0,HTML,6295.0,Ruby,1108.0
115874,1,1,0,User,0,204,0,1,C#,26456.0,0,0.0,0,0.0
95713,1,2,1,User,0,218,0,1,Ruby,35159.0,0,0.0,0,0.0
3981,2,2,0,User,0,92,0,1,Ruby,16608.0,0,0.0,0,0.0
83244,1,2,1,User,0,3490,0,2,TeX,13348.0,Makefile,843.0,0,0.0
90793,1,2,2,User,1,393,1,1,C#,23303.0,0,0.0,0,0.0
6822,2,1,0,User,0,126,0,1,JavaScript,129039.0,0,0.0,0,0.0
32245,1,3,2,User,0,85,0,1,Ruby,6219.0,0,0.0,0,0.0
79777,1,1,0,User,0,2756,0,3,PHP,1708252.0,ActionScript,379556.0,JavaScript,351679.0
23058,2,2,0,User,0,109,0,0,JavaScript,0.0,0,0.0,0,0.0
100755,0,2,1,User,0,238,0,1,C,8832.0,0,0.0,0,0.0
81823,1,3,0,User,0,134,0,5,Fortran,249605.0,NCL,7971.0,Makefile,5333.0
48203,2,3,0,User,0,948,0,8,C,241252.0,Objective-C,11340.0,PHP,8688.0
43919,2,1,1,User,0,1363,0,0,0,0.0,0,0.0,0,0.0
64650,2,1,0,User,0,80,0,0,0,0.0,0,0.0,0,0.0
106730,1,1,0,User,0,116,0,1,Ruby,6798.0,0,0.0,0,0.0
2086,1,5,1,User,0,15736,0,2,Ruby,819353.0,JavaScript,44144.0,0,0.0
11945,2,2,0,User,0,352,0,1,Ruby,28100.0,0,0.0,0,0.0
45122,2,0,1,User,0,2648,0,0,JavaScript,0.0,0,0.0,0,0.0
100304,1,1,1,User,0,1236,0,0,Ruby,0.0,0,0.0,0,0.0
61801,2,1,1,User,0,78,0,0,0,0.0,0,0.0,0,0.0
82403,1,1,0,User,0,128,0,2,PHP,181772.0,JavaScript,3654.0,0,0.0
