,stars
131755,2
35333,2
58503,1
78396,1
76468,1
125314,1
104666,6
68128,1
19640,6
112981,1
5280,2
91696,1
54999,1
16783,6
53538,1
42155,1
31615,1
43358,1
33910,1
39442,1
2722,122
106418,1
118361,1
44986,1
63959,9
50259,1
30956,1
71603,5
4159,3
80672,2
29433,2
98508,58
113998,2
28203,19
130701,11
69589,1
71620,1
76553,1
95429,3
86267,0
26960,10
117173,2
68773,1
52495,1
42287,3
21393,8
130908,1
119778,0
110194,0
39503,3
110146,1
80225,1
43283,1
92032,114
44831,1
74032,5
15110,2
43754,14
32653,1
118159,27
133716,3
126331,4
88190,1
126467,1
85491,1
82798,30
5329,2042
67060,1
2372,16
107099,1
31859,2
87185,1
106688,0
53475,1
133844,1
21328,3
86840,3
29196,2
83022,1
103019,1
108305,0
109566,1
11146,1
38027,1
81750,1
94347,1
131987,3
136154,0
62395,23
110519,65
100294,1
45180,1
76631,3
83169,1
82783,5
59453,1
70393,1
72736,2
83451,2
41676,5
13775,4
28621,74
23202,2
18845,2
97025,1
70363,98
62204,1
58677,20
91871,1
84778,7
82103,1
3924,2
79808,0
113408,2
32671,3
16006,4
85021,1
109704,0
60385,1
132798,3
27700,2
94754,1
116994,1
56718,0
99708,3
31845,1
51939,1
71619,1
1141,3
129165,1
19006,2
15760,2
1297,62
17054,2
83066,48
70832,6
94787,1
130060,2
21198,2
25611,3
26882,1
80764,1
50678,2
10469,5
69497,3
48636,1
37113,1
91659,1
89951,2
111149,4
74703,1
94486,1
111411,2
99198,1
41009,1
98696,1
102847,1
12048,3
15511,2
63277,1
1461,4
29054,0
49529,2
136734,1
133410,1
62195,1
40643,3
72755,2
42831,4
104338,1
52053,2
82844,0
50999,1
120775,1
16773,2
129347,1
44936,1
81386,1
10204,2
113599,1
98031,2
25936,2
5986,59
70868,1
17459,7
17059,5
28459,1
42478,1
20773,5
94120,1
27588,1
124693,1
1871,3
112448,2
43599,3
57699,47
126283,0
112373,1
53941,1
136569,1
52125,1
56081,1
66875,1
84645,247
130113,1
33617,1
23383,2
99575,1
12496,2
18074,3
89064,1
71561,1
76606,0
8494,2
122970,1
65282,1
11289,3
132991,3
30709,1
127889,1
71247,0
37357,4758
134467,1
116810,1
50279,1
118423,1
68043,1
117273,30
63401,5
108972,2
15455,2
120298,3
46471,1
127103,1
37836,1
79821,1
87662,4603
6184,2
97989,4
129084,1
17092,2
88283,1
116224,1
73637,1
128402,1
52927,1
105973,1
45256,0
8530,2
43009,1
68065,1
11871,2
106071,1
25404,2
121769,1
62720,14
86944,2
99481,1
39248,1
75530,1
12273,7
108496,1
44228,122
36582,1
66185,3
22031,3
35808,3
25019,3
23316,2
35208,1
132271,1
22261,3
111001,1
103897,1
124503,1
76587,1
48428,1
90600,1
95794,2
80721,2
47885,1
37850,1
24709,3
32928,1
38335,1
132216,3
73780,1
91071,2
74459,1
92964,475
120167,2
72074,2
89563,11
105297,1
67349,1
96208,1
70701,1
65632,1
51843,1
75016,1
124721,1
113220,10
60646,1
120717,3
29892,3
110397,1
134652,1
46739,1
78044,1
77489,2
31264,46
49862,1
113435,1
70893,4
23564,8
71729,3
29100,5
67203,1
109413,0
103728,1
97792,1
53040,2
102172,11
45731,0
51651,3
81627,0
99557,1
109796,1
31828,1
60233,2
111865,1
24754,15
95687,1
18581,97
82949,6
124593,1
49886,1
134305,1
26935,2
107529,1
67017,1
29662,0
107415,1
4219,49
85525,1
16676,2
12445,2
41975,1
53759,1
115392,1
30930,18
24354,18
106272,1
39711,1
101897,1
43921,1
59090,1
74715,1
87257,1
23613,2
24052,3
91031,18
79253,1
120762,1
129035,23
80132,6
41401,1
39351,1
54188,1
63872,1
45368,7
